    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:06 /sbin/init
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
      8 ?        I<     0:00 [mm_percpu_wq]
      9 ?        S      0:02 [ksoftirqd/0]
     10 ?        I      0:44 [rcu_sched]
     11 ?        I      0:00 [rcu_bh]
     12 ?        S      0:05 [migration/0]
     13 ?        S      0:00 [idle_inject/0]
     15 ?        S      0:00 [cpuhp/0]
     16 ?        S      0:00 [cpuhp/1]
     17 ?        S      0:00 [idle_inject/1]
     18 ?        S      0:04 [migration/1]
     19 ?        S      0:02 [ksoftirqd/1]
     21 ?        I<     0:00 [kworker/1:0H-kblockd]
     22 ?        S      0:00 [cpuhp/2]
     23 ?        S      0:00 [idle_inject/2]
     24 ?        S      0:08 [migration/2]
     25 ?        S      0:02 [ksoftirqd/2]
     27 ?        I<     0:00 [kworker/2:0H-kblockd]
     28 ?        S      0:00 [cpuhp/3]
     29 ?        S      0:00 [idle_inject/3]
     30 ?        S      0:06 [migration/3]
     31 ?        S      0:02 [ksoftirqd/3]
     33 ?        I<     0:00 [kworker/3:0H-kblockd]
     34 ?        S      0:00 [cpuhp/4]
     35 ?        S      0:00 [idle_inject/4]
     36 ?        S      0:08 [migration/4]
     37 ?        S      0:01 [ksoftirqd/4]
     39 ?        I<     0:00 [kworker/4:0H-kblockd]
     40 ?        S      0:00 [cpuhp/5]
     41 ?        S      0:00 [idle_inject/5]
     42 ?        S      0:03 [migration/5]
     43 ?        S      0:02 [ksoftirqd/5]
     45 ?        I<     0:00 [kworker/5:0H-kblockd]
     46 ?        S      0:00 [cpuhp/6]
     47 ?        S      0:00 [idle_inject/6]
     48 ?        S      0:12 [migration/6]
     49 ?        S      0:02 [ksoftirqd/6]
     51 ?        I<     0:00 [kworker/6:0H-kblockd]
     52 ?        S      0:00 [cpuhp/7]
     53 ?        S      0:00 [idle_inject/7]
     54 ?        S      0:03 [migration/7]
     55 ?        S      0:02 [ksoftirqd/7]
     57 ?        I<     0:00 [kworker/7:0H-kblockd]
     58 ?        S      0:00 [kdevtmpfs]
     59 ?        I<     0:00 [netns]
     60 ?        S      0:00 [kauditd]
     62 ?        S      0:00 [khungtaskd]
     63 ?        S      0:00 [oom_reaper]
     64 ?        I<     0:00 [writeback]
     65 ?        S      0:01 [kcompactd0]
     66 ?        SN     0:00 [ksmd]
     67 ?        SN     0:00 [khugepaged]
     68 ?        I<     0:00 [crypto]
     69 ?        I<     0:00 [kintegrityd]
     70 ?        I<     0:00 [kblockd]
     74 ?        I<     0:00 [edac-poller]
     75 ?        I<     0:00 [devfreq_wq]
     76 ?        S      0:00 [watchdogd]
     78 ?        S      0:16 [kswapd0]
    122 ?        I<     0:00 [kthrotld]
    123 ?        S      0:00 [irq/125-pciehp]
    124 ?        S      0:00 [irq/126-pciehp]
    125 ?        S      0:00 [irq/127-pciehp]
    129 ?        I<     0:00 [acpi_thermal_pm]
    130 ?        I<     0:00 [nvme-wq]
    131 ?        I<     0:00 [nvme-reset-wq]
    132 ?        I<     0:00 [nvme-delete-wq]
    134 ?        I<     0:00 [ipv6_addrconf]
    144 ?        I<     0:00 [kstrp]
    157 ?        I<     0:00 [charger_manager]
    196 ?        S      0:15 [jbd2/nvme0n1p5-]
    197 ?        I<     0:00 [ext4-rsv-conver]
    198 ?        I<     0:00 [kworker/4:1H-kblockd]
    207 ?        I<     0:00 [kworker/1:1H-kblockd]
    232 ?        Ss     0:05 /usr/lib/systemd/systemd-journald
    241 ?        I<     0:00 [kworker/0:1H-kblockd]
    242 ?        I<     0:00 [kworker/6:1H-kblockd]
    243 ?        I<     0:00 [kworker/2:1H-kblockd]
    245 ?        I<     0:00 [usbip_event]
    246 ?        Ss     0:03 /usr/lib/systemd/systemd-udevd
    249 ?        I<     0:00 [kworker/5:1H-kblockd]
    256 ?        Ss     0:00 /usr/bin/lvmetad -f
    286 ?        I<     0:00 [ktpacpid]
    288 ?        S      0:00 [irq/139-mei_me]
    308 ?        I<     0:00 [cfg80211]
    327 ?        S      8:33 [irq/157-iwlwifi]
    378 ?        I<     0:00 [kworker/7:1H-kblockd]
    380 ?        S      2:18 [i915/signal:0]
    381 ?        S      0:00 [i915/signal:1]
    382 ?        S      0:00 [i915/signal:2]
    383 ?        S      0:00 [i915/signal:6]
    420 ?        S      0:00 [cec-DP-2]
    569 ?        Ss     0:39 avahi-daemon: running [shane-pc.local]
    570 ?        Ss     0:00 /usr/bin/crond -n
    573 ?        Ss     1:08 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    581 ?        Ssl    0:49 /usr/bin/NetworkManager --no-daemon
    585 ?        Ssl    0:13 /usr/lib/polkit-1/polkitd --no-debug
    593 ?        Ss     0:08 /usr/lib/systemd/systemd-logind
    597 ?        S      0:00 avahi-daemon: chroot helper
    635 ?        Ss     0:00 sshd: /usr/bin/sshd -D [listener] 0 of 10-100 startups
    642 ?        SLsl   0:00 /usr/bin/lightdm
    649 ?        Ssl    0:00 /usr/bin/ModemManager
    675 ?        S      5:30 [irq/159-rmi4_sm]
    680 ?        Ssl    0:03 /usr/lib/accounts-daemon
    723 tty7     Ssl+  95:36 /usr/lib/Xorg :0 -seat seat0 -auth /run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
    878 ?        S      0:00 [scsi_eh_0]
    879 ?        I<     0:00 [scsi_tmf_0]
    880 ?        S      0:15 [usb-storage]
    881 ?        I<     0:00 [uas]
    886 ?        Ss     0:02 /usr/lib/bluetooth/bluetoothd
    889 ?        Ss     0:01 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
    923 ?        Sl     0:00 lightdm --session-child 12 15
    928 ?        Ss     0:04 /usr/lib/systemd/systemd --user
    929 ?        S      0:00 (sd-pam)
    940 ?        SLl    0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
    943 ?        Ssl    0:03 xfce4-session
    951 ?        Ss     1:33 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    967 ?        Ssl    0:00 /usr/lib/gvfsd
    972 ?        Sl     0:05 /usr/lib/gvfsd-fuse /run/user/1000/gvfs -f
    981 ?        Ssl    0:00 /usr/lib/at-spi-bus-launcher
    987 ?        S      0:07 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
    989 ?        Sl     0:02 /usr/lib/xfce4/xfconf/xfconfd
    995 ?        Sl     0:22 /usr/lib/at-spi2-registryd --use-gnome-session
   1000 ?        Ss     0:00 /usr/bin/ssh-agent -s
   1003 ?        SLs    0:08 /usr/bin/gpg-agent --supervised
   1005 ?        Sl   112:31 xfwm4
   1014 ?        S<sl 106:33 /usr/bin/pulseaudio --daemonize=no
   1016 ?        Sl     5:52 xfce4-panel
   1021 ?        SNsl   0:02 /usr/lib/rtkit-daemon
   1027 ?        Sl     0:00 /usr/lib/pulse/gsettings-helper
   1033 ?        S<     0:00 [krfcommd]
   1034 ?        Sl     1:33 Thunar --daemon
   1039 ?        Sl     0:46 /usr/lib/xfce4/panel/wrapper-2.0 /usr/lib/xfce4/panel/plugins/libwhiskermenu.so 8 12582919 whiskermenu Whisker Menu Show a menu to easily access installed applications
   1040 ?        Sl     0:05 /usr/lib/xfce4/panel/wrapper-2.0 /usr/lib/xfce4/panel/plugins/libsystray.so 6 12582921 systray Notification Area Area where notification icons appear
   1041 ?        Sl     5:27 /usr/lib/xfce4/panel/wrapper-2.0 /usr/lib/xfce4/panel/plugins/libpulseaudio-plugin.so 9 12582922 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
   1042 ?        Sl     0:02 /usr/lib/xfce4/panel/wrapper-2.0 /usr/lib/xfce4/panel/plugins/libactions.so 2 12582923 actions Action Buttons Log out, lock or other system actions
   1043 ?        Sl     0:03 /usr/lib/xfce4/panel/wrapper-2.0 /usr/lib/xfce4/panel/plugins/libscreenshooterplugin.so 10 12582924 screenshooter Screenshot Take screenshots of the entire screen, of the active window or of a region
   1048 ?        Sl     1:04 xfdesktop
   1058 ?        Ssl    0:06 /usr/lib/xfce4/notifyd/xfce4-notifyd
   1066 ?        Sl     0:01 xfce4-notes
   1071 ?        S      0:54 python3 /usr/bin/mpDris2
   1076 ?        SLl    4:03 /usr/share/skypeforlinux/skypeforlinux --executed-from=/home/shane --pid=1064
   1078 ?        SNl    3:24 baloo_file
   1082 ?        Sl     0:57 msm_notifier
   1084 ?        Sl     0:01 /usr/bin/python /usr/bin/blueman-applet
   1085 ?        Sl     0:08 light-locker
   1086 ?        Sl     0:30 nm-applet
   1091 ?        S      0:01 /usr/bin/python3 /usr/share/system-config-printer/applet.py
   1093 ?        Sl     0:00 /usr/lib/geoclue-2.0/demos/agent
   1096 ?        Ssl    0:30 xfce4-power-manager
   1098 ?        Sl     0:00 /usr/lib/dconf-service
   1110 ?        Sl     0:02 pamac-tray
   1112 ?        Sl     0:01 /usr/lib/polkit-gnome/polkit-gnome-authentication-agent-1
   1132 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=zygote
   1135 ?        Ssl    0:13 /usr/lib/upowerd
   1137 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=zygote
   1142 ?        Ssl    0:06 /usr/lib/udisks2/udisksd
   1146 ?        Ssl    0:03 /usr/lib/gvfs-udisks2-volume-monitor
   1167 ?        Ssl    0:00 /usr/lib/gvfs-mtp-volume-monitor
   1174 ?        Ssl    0:00 /usr/lib/gvfs-gphoto2-volume-monitor
   1182 ?        Ssl    0:07 /usr/lib/gvfs-afc-volume-monitor
   1191 ?        Sl     0:00 /usr/lib/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
   1196 ?        Ssl    0:00 /usr/lib/gvfsd-metadata
   1208 ?        Sl     0:02 /usr/bin/python /usr/bin/blueman-tray
   1222 ?        Sl     0:06 /usr/share/skypeforlinux/skypeforlinux --type=gpu-process --field-trial-handle=1422957079108192243,6848726654380473506,131072 --disable-features=PictureInPicture,SpareRendererForSitePerProcess --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=514660476180995088
   1230 ?        Sl     0:01 /usr/share/skypeforlinux/skypeforlinux --type=utility --field-trial-handle=1422957079108192243,6848726654380473506,131072 --disable-features=PictureInPicture,SpareRendererForSitePerProcess --lang=en-US --service-sandbox-type=network --service-request-channel-token=7472854063793516819 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
   1250 ?        Ss     0:00 /usr/lib/bluetooth/obexd
   1260 ?        Sl     0:46 /usr/share/skypeforlinux/skypeforlinux --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --ms-disable-indexeddb-transaction-timeout --field-trial-handle=1422957079108192243,6848726654380473506,131072 --disable-features=PictureInPicture,SpareRendererForSitePerProcess --lang=en-US --app-path=/usr/share/skypeforlinux/resources/app.asar --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/usr/share/skypeforlinux/resources/app.asar/Preload.js --background-color=#fff --node-integration-in-subframes --enable-spellcheck --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=1227823491814976165 --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 --skype-process-type=Main --skype-window-id=__MAIN_ROOT_VIEW_ID__
   1323 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
   1435 ?        Sl     8:01 /usr/bin/xfce4-terminal
   1440 pts/0    Ss     0:00 bash
   1462 ?        I<     0:00 [kworker/3:1H-kblockd]
   1470 ?        Ss     0:16 /usr/bin/nmbd --foreground --no-process-group
   1471 ?        Ss     0:00 /usr/bin/cupsd -l
   1472 ?        Ssl    0:00 /usr/lib/colord
   1476 ?        Ss     0:05 /usr/bin/smbd --foreground --no-process-group
   1478 ?        S      0:00 /usr/bin/smbd --foreground --no-process-group
   1479 ?        S      0:00 /usr/bin/smbd --foreground --no-process-group
   1481 ?        S      0:00 /usr/bin/smbd --foreground --no-process-group
   2104 ?        Ssl    0:22 xfsettingsd --replace
   2401 ?        S      0:01 /usr/bin/smbd --foreground --no-process-group
  34131 ?        Sl     0:00 /usr/lib/gvfsd-network --spawner :1.5 /org/gtk/gvfs/exec_spaw/1
  34145 ?        Sl     0:04 /usr/lib/gvfsd-dnssd --spawner :1.5 /org/gtk/gvfs/exec_spaw/3
  37040 pts/1    Ss+    0:01 bash
 821948 ?        S      0:00 /bin/sh /usr/bin/dbeaver
 821954 ?        Sl     0:00 /usr/lib/dbeaver/dbeaver
 822153 ?        Sl    71:17 /usr/bin/java -XX:+IgnoreUnrecognizedVMOptions -Xms64m -Xmx1024m -jar /usr/lib/dbeaver//plugins/org.eclipse.equinox.launcher_1.5.700.v20200207-2156.jar -os linux -ws gtk -arch x86_64 -showsplash -launcher /usr/lib/dbeaver/dbeaver -name Dbeaver --launcher.library /usr/lib/dbeaver//plugins/org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.1100.v20190907-0426/eclipse_1801.so -startup /usr/lib/dbeaver//plugins/org.eclipse.equinox.launcher_1.5.700.v20200207-2156.jar --launcher.overrideVmargs -exitdata 122001a -vm /usr/bin/java -vmargs -XX:+IgnoreUnrecognizedVMOptions -Xms64m -Xmx1024m -jar /usr/lib/dbeaver//plugins/org.eclipse.equinox.launcher_1.5.700.v20200207-2156.jar
 830882 ?        Sl     0:00 /usr/lib/gvfsd-http --spawner :1.5 /org/gtk/gvfs/exec_spaw/4
2967661 ?        SLl   59:27 /usr/lib/chromium/chromium
2967664 ?        S      0:00 /usr/lib/chromium/chromium --type=zygote --no-zygote-sandbox
2967665 ?        S      0:00 /usr/lib/chromium/chromium --type=zygote
2967667 ?        S      0:05 /usr/lib/chromium/chromium --type=zygote
2967687 ?        Sl    34:45 /usr/lib/chromium/chromium --type=gpu-process --field-trial-handle=17149969810971708281,12768316327340235337,131072 --gpu-preferences=MAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --shared-files
2967690 ?        SLl   21:24 /usr/lib/chromium/chromium --type=utility --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --service-sandbox-type=network --disable-webrtc-apm-in-audio-service --shared-files
2967790 ?        Sl     2:39 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files
2967804 ?        Sl     3:44 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files
2967822 ?        Sl     3:02 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files
2967946 ?        Sl     6:44 /usr/lib/chromium/chromium --type=utility --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --service-sandbox-type=audio --disable-webrtc-apm-in-audio-service --shared-files
2968506 ?        Sl    37:30 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=66 --no-v8-untrusted-code-mitigations --shared-files
2968520 ?        Sl     0:31 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=67 --no-v8-untrusted-code-mitigations --shared-files
